epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,82619.1,1.03888,0.47341,0.98794,0.9993,1,0.995,0.82544,0.74431,0.28048,0.88011,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,85178.6,1.03711,0.47313,0.98786,0.99931,1,0.995,0.82374,0.74841,0.28152,0.88038,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,87727.8,1.03557,0.47024,0.98562,0.99934,1,0.995,0.82114,0.75822,0.28218,0.88267,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,90330.3,1.02922,0.46595,0.98351,0.99931,1,0.995,0.82115,0.76002,0.28142,0.88248,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,92853.9,1.0306,0.46201,0.98397,0.99933,1,0.995,0.8195,0.76361,0.28105,0.88274,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,95645.4,1.02429,0.45921,0.98064,0.99935,1,0.995,0.81981,0.76553,0.2803,0.88261,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,98489.8,1.02327,0.45535,0.97967,0.99936,1,0.995,0.81972,0.76558,0.27974,0.8825,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,101044,1.02022,0.45415,0.97704,0.99938,1,0.995,0.81998,0.76545,0.27945,0.88207,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,103564,1.01672,0.45051,0.97855,0.9994,1,0.995,0.82079,0.76332,0.27837,0.8817,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,106274,1.04481,0.37836,1.05067,0.99939,1,0.995,0.82084,0.76385,0.27876,0.88229,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,108995,1.03653,0.37353,1.04683,0.9994,1,0.995,0.8211,0.76284,0.27888,0.88222,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,111677,1.03105,0.36983,1.04446,0.9994,1,0.995,0.82031,0.76236,0.27949,0.88209,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,114238,1.02789,0.36731,1.04246,0.9994,1,0.995,0.81914,0.76598,0.28085,0.88285,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,116865,1.02221,0.36452,1.03918,0.99941,1,0.995,0.81909,0.76514,0.28108,0.88246,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,119544,1.0175,0.36098,1.03818,0.99941,1,0.995,0.81872,0.76589,0.28168,0.88235,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,122243,1.01237,0.35708,1.03497,0.99941,1,0.995,0.81826,0.76702,0.28189,0.8825,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,124978,1.0098,0.35473,1.03482,0.99941,1,0.995,0.81767,0.76733,0.2822,0.88235,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,127704,1.00651,0.35151,1.03249,0.99941,1,0.995,0.8178,0.76722,0.28229,0.88226,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,130412,1.00189,0.34923,1.03002,0.99941,1,0.995,0.81735,0.76786,0.2824,0.88225,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
